ābcd, ābcd, ābcd, empty
ābcd + abcd, bcd, bcd, empty
ābcd, bcd, bcd, empty
ābcd + abcd̄, ābcd + abcd̄, ābcd + abcd̄, empty
ābcd + abcd̄ + abcd, bcd + abc, bcd + abc, empty
ābcd + abcd̄, bcd + abc, bcd + abc, empty
ābcd, ābcd, ābcd, empty
ābcd + abcd, bcd + abc, bcd, empty
ābcd, bcd, bcd, empty
ābcd + abc̄d, ābcd + abc̄d, ābcd + abc̄d, empty
ābcd + abc̄d + abcd, bcd + abd, bcd + abd, empty
ābcd + abc̄d, bcd + abd, bcd + abd, empty
ābcd + abc̄d + abcd̄, ābcd + abc̄d + abcd̄, ābcd + abc̄d + abcd̄, empty
ābcd + abc̄d + abcd̄ + abcd, bcd + abd + abc, bcd + abd + abc, empty
ābcd + abc̄d + abcd̄, bcd + abd + abc, bcd + abd + abc, empty
ābcd + abc̄d, ābcd + abc̄d, ābcd + abc̄d, empty
ābcd + abc̄d + abcd, bcd + abd + abc, bcd + abd, empty
ābcd + abc̄d, bcd + abd, bcd + abd, empty
ābcd, ābcd, ābcd, empty
ābcd + abcd, bcd + abd, bcd, empty
ābcd, bcd, bcd, empty
ābcd + abcd̄, ābcd + abcd̄, ābcd + abcd̄, empty
ābcd + abcd̄ + abcd, bcd + abd + abc, bcd + abc, empty
ābcd + abcd̄, bcd + abc, bcd + abc, empty
ābcd, ābcd, ābcd, empty
ābcd + abcd, bcd + abd + abc, bcd, empty
ābcd, bcd, bcd, empty
ābcd + abc̄d̄, ābcd + abc̄d̄, ābcd + abc̄d̄, empty
ābcd + abc̄d̄ + abcd, bcd + abc̄d̄, bcd + abc̄d̄, empty
ābcd + abc̄d̄, bcd + abc̄d̄, bcd + abc̄d̄, empty
ābcd + abc̄d̄ + abcd̄, ābcd + abd̄, ābcd + abd̄, empty
ābcd + abc̄d̄ + abcd̄ + abcd, bcd + abd̄ + abc, bcd + abd̄, empty
ābcd + abc̄d̄ + abcd̄, bcd + abd̄ + abc, bcd + abd̄, empty
ābcd + abc̄d̄, ābcd + abd̄, ābcd + abd̄, empty
ābcd + abc̄d̄ + abcd, bcd + abd̄ + abc, bcd + abd̄, empty
ābcd + abc̄d̄, bcd + abd̄, bcd + abd̄, empty
ābcd + abc̄d̄ + abc̄d, ābcd + abc̄, ābcd + abc̄, empty
ābcd + abc̄d̄ + abc̄d + abcd, bcd + abd + abc̄, bcd + abc̄, empty
ābcd + abc̄d̄ + abc̄d, bcd + abd + abc̄, bcd + abc̄, empty
ābcd + abc̄d̄ + abc̄d + abcd̄, ābcd + abd̄ + abc̄, ābcd + abd̄ + abc̄, empty
ābcd + abc̄d̄ + abc̄d + abcd̄ + abcd, bcd + ab, bcd + ab, empty
ābcd + abc̄d̄ + abc̄d + abcd̄, bcd + ab, bcd + ab, empty
ābcd + abc̄d̄ + abc̄d, ābcd + abd̄ + abc̄, ābcd + abc̄, empty
ābcd + abc̄d̄ + abc̄d + abcd, bcd + ab, bcd + ab, empty
ābcd + abc̄d̄ + abc̄d, bcd + ab, bcd + ab, empty
