empty, 0, empty, empty
abc, abc, abc, empty
empty, empty, empty, empty
abc̄, abc̄, abc̄, empty
abc̄ + abc, ab, ab, empty
abc̄, ab, ab, empty
empty, empty, empty, empty
abc, ab, ab, empty
empty, empty, empty, empty
ab̄c, ab̄c, ab̄c, empty
ab̄c + abc, ac, ac, empty
ab̄c, ac, ac, empty
ab̄c + abc̄, ab̄c + abc̄, ab̄c + abc̄, empty
ab̄c + abc̄ + abc, ac + ab, ac + ab, empty
ab̄c + abc̄, ac + ab, ac + ab, empty
ab̄c, ab̄c, ab̄c, empty
ab̄c + abc, ac + ab, ac, empty
ab̄c, ac, ac, empty
empty, empty, empty, empty
abc, ac, ac, empty
empty, empty, empty, empty
abc̄, abc̄, abc̄, empty
abc̄ + abc, ac + ab, ab, empty
abc̄, ab, ab, empty
empty, empty, empty, empty
abc, ac + ab, ab, ac
empty, empty, empty, empty
ab̄c̄, ab̄c̄, ab̄c̄, empty
ab̄c̄ + abc, ab̄c̄ + abc, ab̄c̄ + abc, empty
ab̄c̄, ab̄c̄, ab̄c̄, empty
ab̄c̄ + abc̄, ac̄, ac̄, empty
ab̄c̄ + abc̄ + abc, ac̄ + ab, ac̄ + ab, empty
ab̄c̄ + abc̄, ac̄ + ab, ac̄, empty
ab̄c̄, ac̄, ac̄, empty
ab̄c̄ + abc, ac̄ + ab, ac̄ + ab, empty
ab̄c̄, ac̄, ac̄, empty
ab̄c̄ + ab̄c, ab̄, ab̄, empty
ab̄c̄ + ab̄c + abc, ac + ab̄, ac + ab̄, empty
ab̄c̄ + ab̄c, ac + ab̄, ab̄, empty
ab̄c̄ + ab̄c + abc̄, ac̄ + ab̄, ac̄ + ab̄, empty
ab̄c̄ + ab̄c + abc̄ + abc, a, a, empty
ab̄c̄ + ab̄c + abc̄, a, a, empty
ab̄c̄ + ab̄c, ac̄ + ab̄, ab̄, empty
ab̄c̄ + ab̄c + abc, a, a, empty
ab̄c̄ + ab̄c, a, a, empty
ab̄c̄, ab̄, ab̄, empty
ab̄c̄ + abc, ac + ab̄, ac + ab̄, empty
ab̄c̄, ab̄, ab̄, empty
ab̄c̄ + abc̄, ac̄ + ab̄, ac̄, empty
ab̄c̄ + abc̄ + abc, a, a, empty
ab̄c̄ + abc̄, a, a, empty
ab̄c̄, ac̄ + ab̄, ab̄, ac̄
ab̄c̄ + abc, a, a, empty
ab̄c̄, a, a, empty
empty, empty, empty, empty
abc, abc, abc, empty
empty, empty, empty, empty
abc̄, ac̄, ac̄, empty
abc̄ + abc, ac̄ + ab, ab, empty
abc̄, ac̄ + ab, ab, ac̄
empty, empty, empty, empty
abc, ab, ab, empty
empty, empty, empty, empty
ab̄c, ab̄, ab̄, empty
ab̄c + abc, ac + ab̄, ac, empty
ab̄c, ac + ab̄, ab̄, ac
ab̄c + abc̄, ac̄ + ab̄, ac̄ + ab̄, empty
ab̄c + abc̄ + abc, a, a, empty
ab̄c + abc̄, a, a, empty
ab̄c, ab̄, ab̄, empty
ab̄c + abc, a, a, empty
ab̄c, a, a, empty
empty, empty, empty, empty
abc, ac, ac, empty
empty, empty, empty, empty
abc̄, ac̄, ac̄, empty
abc̄ + abc, a, a, empty
