(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c + d̄ )  . (ā + b + c̄ + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d )  . (ā + b̄ + c + d̄ )  . (ā + b̄ + c̄ + d )  . (ā + b̄ + c̄ + d̄ ), 0, empty, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c + d̄ )  . (ā + b + c̄ + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d )  . (ā + b̄ + c + d̄ )  . (ā + b̄ + c̄ + d ), (d) . (c) . (b) . (a), d . c . b . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c + d̄ )  . (ā + b + c̄ + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d )  . (ā + b̄ + c + d̄ )  . (ā + b̄ + c̄ + d ), 0, empty, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c + d̄ )  . (ā + b + c̄ + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d )  . (ā + b̄ + c + d̄ )  . (ā + b̄ + c̄ + d̄ ), (d̄) . (c) . (b) . (a), d̄ . c . b . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c + d̄ )  . (ā + b + c̄ + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d )  . (ā + b̄ + c + d̄ ), (c) . (b) . (a), c . b . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c + d̄ )  . (ā + b + c̄ + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d )  . (ā + b̄ + c + d̄ ), (d̄) . (c) . (b) . (a), c . b . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c + d̄ )  . (ā + b + c̄ + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d )  . (ā + b̄ + c + d̄ )  . (ā + b̄ + c̄ + d̄ ), 0, empty, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c + d̄ )  . (ā + b + c̄ + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d )  . (ā + b̄ + c + d̄ ), (d) . (c) . (b) . (a), c . b . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c + d̄ )  . (ā + b + c̄ + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d )  . (ā + b̄ + c + d̄ ), 0, empty, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c + d̄ )  . (ā + b + c̄ + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d )  . (ā + b̄ + c̄ + d )  . (ā + b̄ + c̄ + d̄ ), (d) . (c̄) . (b) . (a), d . c̄ . b . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c + d̄ )  . (ā + b + c̄ + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d )  . (ā + b̄ + c̄ + d ), (d) . (b) . (a), d . b . a, empty
